dataset,seed,bootstrap_repeats,caliper,method,effect,ci_low,ci_high,ci_width,balance_after
lalonde,42,20,0.05,RegressionAdjustmentEstimator,1548.2438020003797,804.0844168323704,2816.6734228586993,2012.589006026329,0.5085763727684149
lalonde,42,20,0.05,IPWEstimator,232.42121949850025,-981.2645172946402,2781.8824037097065,3763.146921004347,0.14935561296631406
lalonde,42,20,0.05,DoublyRobustEstimator,798.718243476316,-616.7691365125402,2835.4675409499832,3452.2366774625234,0.15822617744353895
lalonde,42,20,0.05,PropensityMatcher,1540.0712793577982,-279.35200894221964,2490.5729756434516,2769.924984585671,0.07344052274257647
nhefs,42,20,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.2393722320170943,3.9295822307617794,1.690209998744685,0.1521322101281169
nhefs,42,20,0.02,IPWEstimator,3.2634978711907743,2.1075065164087547,4.012893977499098,1.905387461090343,0.012853630864701801
nhefs,42,20,0.02,DoublyRobustEstimator,3.293647427944588,2.1395753349188826,4.040344599824692,1.9007692649058097,0.012853630864701768
nhefs,42,20,0.02,PropensityMatcher,3.2117884332647817,2.367152375833192,4.260865857236429,1.8937134814032373,0.029879113398767032
synthetic,42,20,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.8106208186309347,2.252049054738436,0.44142823610750126,0.4101570945338573
synthetic,42,20,0.02,IPWEstimator,1.927137190707402,1.6693201986938224,2.124776098223165,0.4554558995293425,0.01574644379960979
synthetic,42,20,0.02,DoublyRobustEstimator,1.9354540855590772,1.7664989675210403,2.1591691630990386,0.3926701955779983,0.015746443799608996
synthetic,42,20,0.02,PropensityMatcher,1.7069487424995728,1.3834550221556374,2.2730039775353896,0.8895489553797522,0.05052043831836204
lalonde,123,20,0.05,RegressionAdjustmentEstimator,1548.2438020003797,404.733035246127,2432.2752339569565,2027.5421987108296,0.5085763727684149
lalonde,123,20,0.05,IPWEstimator,232.42121949850025,-1379.9017662814765,1832.5270752540782,3212.428841535555,0.14935561296631406
lalonde,123,20,0.05,DoublyRobustEstimator,798.718243476316,-1738.7067034616985,2759.206570090891,4497.913273552589,0.15822617744353895
lalonde,123,20,0.05,PropensityMatcher,1540.0712793577982,-728.7342392874228,2740.903524488525,3469.637763775948,0.07344052274257647
nhefs,123,20,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.665043551139155,3.982525022047301,1.3174814709081462,0.1521322101281169
nhefs,123,20,0.02,IPWEstimator,3.2634978711907743,2.830613962071335,3.9652667627799287,1.1346528007085936,0.012853630864701801
nhefs,123,20,0.02,DoublyRobustEstimator,3.293647427944588,2.8282808604946736,4.035765960396147,1.2074850999014735,0.012853630864701768
nhefs,123,20,0.02,PropensityMatcher,3.2117884332647817,2.1570615107208138,4.264437705547579,2.107376194826765,0.029879113398767032
synthetic,123,20,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.812362989875016,2.0973597093431855,0.2849967194681695,0.4101570945338573
synthetic,123,20,0.02,IPWEstimator,1.927137190707402,1.7616845076526535,2.2131465459283803,0.45146203827572684,0.01574644379960979
synthetic,123,20,0.02,DoublyRobustEstimator,1.9354540855590772,1.7843213988194044,2.055503916126405,0.2711825173070004,0.015746443799608996
synthetic,123,20,0.02,PropensityMatcher,1.7069487424995728,1.1427157463439284,2.295361899494151,1.1526461531502226,0.05052043831836204
