dataset,method,mean_effect,std_effect,min_effect,max_effect,mean_ci_width,std_ci_width,mean_balance_after,n_runs,cv_effect
lalonde,DoublyRobustEstimator,798.718243476316,0.0,798.718243476316,798.718243476316,4105.786824101414,80.50504767122504,0.15822617744353895,5,0.0
lalonde,IPWEstimator,232.42121949850025,0.0,232.42121949850025,232.42121949850025,3226.5498062996317,176.87510037641488,0.14935561296631406,5,0.0
lalonde,PropensityMatcher,1540.0712793577982,0.0,1540.0712793577982,1540.0712793577982,3569.388632895379,272.4317148192838,0.07344052274257647,5,0.0
lalonde,RegressionAdjustmentEstimator,1548.2438020003797,0.0,1548.2438020003797,1548.2438020003797,2803.0846585255003,453.04265097304307,0.5085763727684149,5,0.0
nhefs,DoublyRobustEstimator,3.293647427944588,0.0,3.293647427944588,3.293647427944588,1.6387048257761136,0.2445184652217917,0.012853630864701768,5,0.0
nhefs,IPWEstimator,3.2634978711907743,0.0,3.2634978711907743,3.2634978711907743,1.5753612640215684,0.25637560932542963,0.012853630864701801,5,0.0
nhefs,PropensityMatcher,3.2117884332647817,0.0,3.2117884332647817,3.2117884332647817,2.0218853128891605,0.32660791279835677,0.029879113398767032,5,0.0
nhefs,RegressionAdjustmentEstimator,3.3341674140824518,0.0,3.3341674140824518,3.3341674140824518,1.5187523196407244,0.2654338994530479,0.1521322101281169,5,0.0
synthetic,DoublyRobustEstimator,1.935454085559077,0.0,1.9354540855590772,1.9354540855590772,0.39483058860302556,0.06207283996344545,0.015746443799608996,5,0.0
synthetic,IPWEstimator,1.927137190707402,0.0,1.927137190707402,1.927137190707402,0.6027579506739368,0.06342185072226368,0.01574644379960979,5,0.0
synthetic,PropensityMatcher,1.7069487424995728,0.0,1.7069487424995728,1.7069487424995728,1.139522130804066,0.13224794450929908,0.05052043831836204,5,0.0
synthetic,RegressionAdjustmentEstimator,1.9846249321644263,0.0,1.9846249321644263,1.9846249321644263,0.34061282887193645,0.06079418037826925,0.41015709453385724,5,0.0
